'개런티', 'guarantee'
'개런티드 레저베이션', 'guaranteed reservation'
'개리슨 벨트', 'garrison belt'
'개리슨 캡', 'garrison cap'
'개민', 'gamine'
'개버딘', 'gaberdine'
'개스', 'gas'
'개스킷', 'gasket'
'개스킷 레더', 'gasket leather'
'개스트로섹슈얼', 'gastrosexual'
'개스핑', 'gasping'
'개지트 디테일', 'gadget detail'
'개지트 백', 'gadget bag'
'개퍼', 'gaffer'
'개퍼드 실크', 'gaffered silk'
'개프', 'gaff'
'개프트 스케일', 'gapped scale'
'갠트리', 'gantry'
'갠트리 로봇', 'gantry robot'
'갠트리 시스템', 'gantry system'
'갠트리 크레인', 'gantry crane'
'갤러리', 'gallery'
'갤러리 맨', 'gallery man'
'갤러웨이 튜브', 'galloway tube'
'갤러티어', 'galatea'
'갤러핑', 'galloping'
'갤러핑 인플레이션', 'galloping inflation'
'갤럭시 웨어', 'galaxy wear'
'갤런', 'gallon'
'갤런 레이스', 'gallon lace'
'갤런트', 'gallant'
'갤런트 스타일', 'gallant style'
'갤런틴', 'galantine'
'갤럽', 'gallop'
'갤럽 무브먼트', 'gallop movement'
'갤론', 'gallon'
'갤룬', 'galloon'
'갤리', 'galley'
'갤리개스킨즈', 'galligaskins'
'갤리어드', 'galliard'
'갤패트', 'GALPAT'
'갬브룬', 'gambroon'
'갬블 온 디펜스', 'gamble on defense'
'갬블러 스트라이프', 'gambler stripe'
'갬비슨', 'gambeson'
'갬자', 'gamza'
'갭', 'gap'
'갭 게이지', 'gap gauge'
'갭 그레이딩', 'gap grading'
'갭 다운', 'gap down'
'갭 업', 'gap up'
'갭 이펙트', 'gap effect'
'갭 정션', 'gap junction'
'갭 파이낸싱', 'gap financing'
'갭 필러', 'gap filler'
'갭 필러 레이더', 'gap filler radar'
'갭 히터', 'gap hitter'
'갭핑', 'gapping'
'갱', 'gang'
'갱 룩', 'gang look'
'갱 서베이', 'gang survey'
'갱 차트', 'gang chart'
'갱 폼', 'gang form'
'갱네일', 'gangnail'
'갱스터', 'gangster'
'갱스터 슈트', 'gangster suit'
'갱 에이지', 'gang age'
'갱웨이', 'gangway'
'거글', 'goggles'
'거나이트', 'gunite'
'거나이트 슈팅', 'gunite shooting'
'거너', 'gunner'
'거니 백', 'gunny bag'
'거니 색킹', 'gunny sacking'
'거니 클로스', 'gunny cloth'
'거닝', 'gunning'
'거닝 패턴', 'gunning pattern'
'거더', 'girder'
'거들', 'girdle'
'거들 슈트', 'girdle suit'
'거들 팬티', 'girdle panties'
'거들 팬티 호즈', 'girdle panty hose'
'거들스테드', 'girdlestead'
'거미즈', 'gummies'
'거버너', 'governor'
'거버너 런백', 'governor runback'
'거버너 모터', 'governor motor'
'거버너 스위치', 'governor switch'
'거버너 임펠러', 'governor impeller'
'거버넌스', 'governance'
'거베라', 'gerbera'
'거스', 'girth'
'거스 히치', 'girth hitch'
'거싯', 'gusset'
'거싯 레더', 'gusset leather'
'거싯 백', 'gusset back'
'거싯 숄더', 'gusset shoulder'
'거싯 플레이트', 'gusset plate'
'거전 핀', 'gudgeon pin'
'거즈', 'gauze'
'거즈 룩', 'gauze look'
'거즈 위브', 'gauze weave'
'거타 페르카', 'gutta percha'
'거터', 'gutter'
'거터 볼', 'gutter ball'
'거터 툴', 'gutter tool'
'거트 기타', 'gut guitar'
'거트 렌치 수플렉스', 'gut wrench suplex'
'거트 렌치 엘리베이티드 넥 브레이커', 'gut wrench elevated neck breaker'
'거트 렌치 파워 봄', 'gut wrench power bomb'
'거트 버스터', 'gut buster'
'거트 체크', 'gut check'
'거피', 'guppy'
'건 마이크', 'gun mike'
'건 세트', 'gun set'
